Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,daily_return,cum_return,middle_band,upper_band,lower_band,Conversion,Baseline,SpanA,SpanB,Lagging
2017-03-27,26.080054767247542,26.77911331493937,25.586020777572497,26.73958969116211,50664400,0.0,0.0,,,,,,,,,,25.751523971557617
2017-03-28,26.751949331194037,26.897688497325884,26.49752016702357,26.601268768310547,43244400,0.0,0.0,-0.005172888755928806,0.9948271112440712,,,,,,,,25.65272521972656
2017-03-29,26.675373948442274,26.798882488474348,26.492581836880213,26.514812469482425,34999200,0.0,0.0,-0.003250081775464597,0.9915938417800787,,,,,,,,25.655193328857425
2017-03-30,26.586445136074857,27.17187623894845,26.52963226840051,27.023666381835938,52553200,0.0,0.0,0.01919130723399176,1.0106238238490144,,,,,,,,25.38594436645508
2017-03-31,26.92733361218037,27.14470797376395,26.7766530359334,26.90757179260254,44080800,0.0,0.0,-0.004296033987136294,1.0062821495535494,,,,,,,,25.427934646606445
2017-04-03,26.9125052622844,27.08541831787834,26.534569499526395,26.771705627441406,44523200,0.0,0.0,-0.005049365517199367,1.0012010631670205,,,,,,,,29.960702896118164
2017-04-04,25.541562071906423,25.793518621109147,24.785688655117383,24.894376754760746,127128000,0.0,0.0,-0.07012361852493887,0.9309932217467332,,,,,,,,31.247655868530277
2017-04-05,24.706647190951028,25.287138829071544,24.57819914024205,24.709117889404297,74704800,0.0,0.0,-0.007441795678657437,0.9240649604122789,,,,,,,,31.591007232666016
2017-04-06,24.760988707039296,25.010476456662712,24.3089489352225,24.88943862915039,63512000,0.0,0.0,0.00729774088064139,0.9308085470502478,,,,25.740412587085473,,,,33.17686080932617
2017-04-07,24.953660768699173,25.129044527064767,24.632539744659407,24.78322029113769,42906800,0.0,0.0,-0.004267606818913805,0.926836222147753,,,,25.740412587085473,,,,33.79440689086914
2017-04-10,24.79062919620173,24.857322964852308,24.108861668064065,24.150854110717773,75633200,0.0,0.0,-0.02551590039515761,0.9031871614208067,,,,25.640368953506258,,,,31.549020767211918
